date,time,zipcode_id,alimentos,restaurantes,hoteles,ocio,health_goods,aerolineas,servicios,bienes,gasolina,total
20250514,2,3730,,341.0,,,,,341.0,270.0,,611.0
20250525,8,6600,46642.6,1626.45,22560.26,,7639.67,3000.0,570274.53,79117.26,,649391.79
20250512,8,9030,1441.5,,,,,,,5061.21,3379.77,5061.21
20250513,0,6060,16166.44,56006.21,26733.04,760.0,1017.5,,110087.25,1881225.75,,2334144.23
20250602,13,2830,2780.0,,,,55435.0,,,58215.0,,58215.0
20250503,20,7010,5199.87,,,,,,,5199.87,,5199.87
20250511,20,3720,8761.49,3560.7,,,,,4781.9,8761.49,,13543.39
20250601,5,6100,2421.0,47.0,,,604.21,,,5066.78,,5066.78
20250506,16,6700,45036.51,3072.0,,,20970.0,,288934.46,204337.99,,493272.45
20250513,0,9300,3472.95,4525.8,,,,,11069.8,255866.17,235027.37,266935.97
20250604,13,7010,2363.95,,,,,,,2363.95,,2363.95
20250502,1,7020,198.0,,,,3673.32,,7435.5,3871.32,,11306.82
20250513,8,4620,2577.82,,,,,,28582.4,2577.82,,31160.22
20250507,13,11410,10601.36,604.0,,,,,604.0,10601.36,,11766.89
20250509,0,2840,,2241.5,10785.2,,15300.97,,18002.7,61023.48,,79026.18
20250505,22,3720,4517.2,3900.51,,,,,7970.9,4517.2,,12488.1
20250524,16,11810,225.4,,,,3481.0,,,3706.4,,3706.4
20250612,11,11950,247742.79,,,,,,2917.45,247742.79,,250660.24
20250514,11,3300,51279.23,5147.74,,,16427.81,,33706.8,89756.72,18997.74,123463.52
20250607,0,6010,2494.4,860721.6,82575.04,,6566.16,,968548.4,887061.87,,1870635.27
20250502,16,11810,1084.0,,,,6844.5,,,7928.5,,7928.5
20250502,1,11950,17720.02,,,,,,1068.12,20356.32,,21424.44
20250608,18,11870,75792.11,,,,7793.35,,,103781.78,,118784.28
20250610,5,11000,2921.0,819.25,,,1156.5,,34466.82,13438.79,,47905.61
20250513,23,14646,648.0,,,,,,,648.0,,648.0
20250609,16,9900,3023.24,,,,,,,15000.24,,15000.24
20250502,9,9310,4495.0,164.0,,,2277.99,,,61097.69,,61097.69
20250524,6,14210,875.02,,,,,,,875.02,,875.02
20250507,18,9900,1156.9,,,,,,,3041.9,,3041.9
20250514,9,9260,5443.83,152.5,,,766.0,,,6362.33,,6362.33
20250514,21,11400,8500.37,3547.4,,,13996.5,,3547.4,22496.87,,26044.27
20250524,5,1180,1164.5,,,,,,,2521.0,,2521.0
20250613,17,9640,6594.18,,,,,,,6594.18,,6594.18
20250510,21,6720,40833.98,2013.3,,,13650.33,,212854.3,54484.31,,267338.61
20250514,11,16001,334.0,,,,,,,334.0,,334.0
20250526,20,9640,7845.96,,,,,,,7845.96,,7845.96
20250605,12,5310,429.0,,,,,,,21072.42,,21072.42
20250602,18,6600,17839.98,829.0,,,8894.84,12942.91,1065471.37,138839.78,,1209303.67
20250517,20,4630,1239.5,,,,,,,1239.5,,1239.5
20250511,15,14210,34578.05,,,,,,,34578.05,,34578.05
20250524,19,5500,642.0,,,,,,2037.0,642.0,,2679.0
20250503,0,14646,104.0,,,,843.5,,,3847.5,,3847.5
20250514,18,11950,69410.16,,,,,,890.13,70968.36,,71858.49
20250513,0,6450,109.5,,,,2785.73,,35106.36,274642.68,188086.7,309749.04
20250509,0,9300,3690.41,,,,683.0,,7004.0,876791.79,236166.17,883795.79
20250516,8,6240,550.8,,,,1123.53,,,1674.33,,1674.33
20250609,11,3730,340.5,7921.1,,,,,7921.1,479.5,,8400.6
20250528,11,6720,21228.22,2311.88,,,19422.01,,806061.88,40807.23,,846869.11
20250514,21,7320,5835.39,717.0,,,,,717.0,11258.29,,11975.29
20250608,18,15900,80096.91,,,,17439.5,,,97536.41,,97536.41
20250531,13,11529,5694.0,,,,,,1224481.11,2629781.01,,3854262.12
20250507,10,3810,78805.41,4298.65,,1426.0,311008.01,,32275.13,416303.42,,448578.55
20250507,8,1030,10097.84,2277.0,,,2470.14,,5404.0,12567.98,,17971.98
20250515,13,15400,5735.99,,,,,,,5735.99,,5735.99
20250530,17,9640,3905.31,,,,,,,3905.31,,3905.31
20250531,0,11000,12906.2,1512782.89,,738.0,194375.0,,4300949.08,3572925.83,,8075962.33
20250609,20,5320,1407.5,,,,,,,1407.5,,1407.5
20250502,23,6600,31492.8,3335.0,,,3757.73,,250927.04,35250.53,,286177.57
20250503,5,6600,17592.39,5151.35,17037.07,,5642.89,,156185.22,53540.59,,209725.81
20250507,0,9910,33778.09,278468.43,,,654.0,,475092.43,337776.19,,816032.67
20250518,7,14200,30812.49,,,,1123.0,,,51839.55,,52319.42
20250529,0,6080,488.9,20604.8,,,81271.29,,71757.67,1486088.56,,1666584.71
20250601,11,1290,5221.26,,,,,,,5221.26,,5221.26
20250529,20,3920,12808.15,,,,,,2502473.41,13887.4,,2516360.81
20250521,13,14646,1031.5,,,,,,,1031.5,,1031.5
20250522,12,14420,54230.55,5442.55,,,6119.36,,6270.55,155605.58,,162085.29
20250609,7,14420,4348.15,740.0,,,282.3,,740.0,26768.53,,27508.53
20250613,22,3300,27555.09,,,,10624.5,,,64804.36,26624.77,64804.36
20250503,10,9450,626.0,1905.5,,,6056.5,,1805.5,6782.5,,8588.0
